1906.17;0.440;1
2812.68;0.791;1
2552.74;0.205;1
1044.21;0.473;5
671.87;0.784;1
21306.08;0.623;1
1650.49;0.266;1
1412.90;0.275;0
524.70;0.528;1
1280.56;0.519;1
2236.03;0.801;3
426.92;0.082;4
995.83;0.430;3
2718.48;0.166;1
2190.48;0.946;2
826.37;0.815;1
1481.82;0.792;2
1158.36;0.661;1
2357.69;0.823;2
3949.28;0.791;1
3101.69;0.938;3
2848.28;0.369;4
1153.83;0.431;0
679.85;0.230;3
1446.21;0.776;1
1180.98;0.969;2
852.24;0.624;3
3936.79;0.344;2
1482.88;0.258;2
5513.34;0.083;5
401.12;0.364;1
2374.41;0.168;3
8634.58;0.089;1
1385.89;0.781;2
1893.86;0.584;1
736.19;0.287;1
2061.17;0.925;1
1631.08;0.974;4
456.72;0.845;1
807.64;0.190;1
6602.60;0.734;2
894.79;0.225;1
4930.80;0.052;1
5152.75;0.498;1
1215.62;0.484;2
859.39;0.848;1
920.48;0.880;3
677.83;0.390;0
1966.43;0.347;1
292.12;0.526;1
7105.89;0.945;3
971.08;0.366;1
4112.22;0.263;4
690.11;0.577;4
3722.26;0.808;0
5970.97;0.230;1
2045.75;0.854;1
9988.84;0.201;1
8939.58;0.869;2
2137.51;0.513;0
695.25;0.872;1
929.95;0.223;1
1296.00;0.121;1
7277.15;0.132;5
2505.71;0.505;1
381.68;0.664;1
422.89;0.399;3
4314.25;0.428;3
3164.96;0.708;1
3241.68;0.104;1
2725.88;0.258;2
8262.34;0.661;4
1201.72;0.192;3
4258.88;0.234;3
856.04;0.195;1
2200.71;0.667;2
2147.96;0.713;2
2164.95;0.257;0
3326.38;0.898;2
5567.45;0.228;3
12420.90;0.761;2
6893.26;0.707;0
3644.17;0.474;4
6051.20;0.526;1
9018.05;0.460;2
2778.64;0.258;0
3243.04;0.991;5
5641.27;0.359;0
2305.22;0.346;2
20804.87;0.931;0
1804.08;0.478;1
1753.35;0.938;1
1220.24;0.752;1
4079.22;0.070;2
1072.80;0.421;3
4343.80;0.183;3
4915.78;0.262;1
1829.05;0.723;4
16032.08;0.738;1
916.78;0.649;0
5032.48;0.643;0
1818.12;0.638;2
2170.47;0.618;4
4927.10;0.252;1
301.04;0.606;0
3090.04;0.843;2
3898.18;0.474;3
522.70;0.222;3
599.08;0.302;1
1972.58;0.615;1
399.09;0.181;2
95.54;0.587;2
1402.04;0.764;2
2603.05;0.518;2
3781.39;0.336;1
1764.81;0.097;3
4550.64;0.099;0
8028.84;0.345;3
6748.79;0.143;1
1242.26;0.343;0
2047.37;0.221;0
3160.75;0.562;1
1162.28;0.264;2
3248.59;0.287;4
3531.90;0.553;2
452.90;0.145;2
2514.90;0.873;3
1035.56;0.274;2
2428.90;0.404;1
7291.82;0.426;1
3510.54;0.926;1
832.44;0.630;3
779.01;0.994;5
1721.02;0.792;2
3472.88;0.268;2
879.23;0.961;3
1843.29;0.360;2
3024.95;0.176;2
956.07;0.944;0
2512.09;0.925;2
2247.57;0.698;0
3192.11;0.455;2
1885.04;0.359;3
857.72;0.231;2
3686.86;0.207;1
922.48;0.287;2
447.88;0.422;1
3514.36;0.311;1
964.96;0.467;0
2255.04;0.981;0
9624.19;0.257;4
833.76;0.110;1
1448.12;0.303;3
689.24;0.628;6
444.10;0.381;4
5509.57;0.292;3
1294.54;0.597;3
4844.22;0.725;1
2367.37;0.900;2
3108.62;0.629;1
4732.20;0.543;1
1139.15;0.431;2
314.85;0.312;2
637.38;0.353;3
787.44;0.055;4
924.68;0.206;3
13521.12;0.407;3
3918.75;0.155;2
5506.64;0.858;4
869.92;0.718;1
728.69;0.570;2
1998.43;0.524;2
1288.98;0.949;4
5136.82;0.538;3
761.15;0.938;2
1356.70;0.493;3
1472.20;0.923;0
2715.34;0.101;0
2808.39;0.170;1
764.68;0.535;2
